text,label
Hi! Your order from Myntra containing your items has been dispatched and will be delivered today by Delhivery. Track here: swiggy.com/orders,ham
"Transaction Alert: Your Axis Bank Credit Card ending 7530 was used at D-Mart for Rs.149 on Today. If not done by you, call +91 79555 71125.",ham
"Dear Customer, Your A/c ending 3144 has been credited with Rs.15,000 on 20-05-2026 by InfoSys Salary. Total Available Bal: Rs.84,100.25.",ham
"Success! Your recharge of Rs.4,500 for Jio mobile +91 83778 97006 is successful. Data benefits: 2GB/day, Validity: 84 days. Thank you.",ham
Your Meesho package cannot be delivered due to an incorrect house number. Please update your address and schedule re-delivery at: verify-hdfc-pan.in,spam
"Security Update: A login attempt was detected on your Google Pay profile from a new device. If this wasn't you, secure your account instantly by verifying here: paytm-cashback-reward.com",spam
India Post Alert: Your parcel has arrived at the sorting hub but address is missing. Please update details within 12 hours here: delivery-address-update.in,spam
Use OTP 417579 to complete your registration on the SmartSpam portal. Thank you for choosing us.,ham
"Dear Canara Bank Customer, your account is BLOCKED due to pending KYC update. Click here to verify instantly: bit.ly/update-kyc-now or your card will be permanently suspended.",spam
"Dear Customer, your monthly statement for Kotak Credit Card ending 7751 is generated. Total Due: Rs.4,500, Due Date: 30-05-2026.",ham
URGENT: Your Canara Bank NetBanking access has been suspended. Please update your PAN card details within 24 hours to re-activate. Visit linktr.ee/kbc-draw,spam
Your verification code for Google is 592864. Team Google will never call or SMS you asking for this code.,ham
Your premium for LIC policy 7182 is outstanding. Pay today to avoid policy lapse and get 15% discount on late fees: shorturl.at/xyz78,spam
"Alert: Rs.15,000 debited from your HDFC A/c ending 6165 on 19-05-2026 towards UPI-Google Pay ref no 876544539322. Bal: Rs.4,320.50.",ham
Hi! Your order from Flipkart containing your items has been dispatched and will be delivered today by Delhivery. Track here: jio.com/recharge,ham
Use OTP 878754 to complete your registration on the SmartSpam portal. Thank you for choosing us.,ham
Hi! Your order from Flipkart containing your items has been dispatched and will be delivered today by BlueDart. Track here: swiggy.com/orders,ham
"Dear winner, your mobile number has selected for Rs 25 Lakhs lottery prize in KBC Season 2026. Contact WhatsApp helpline +91 86214 45911 or visit shorturl.at/xyz78",spam
Use OTP 667043 to complete your registration on the SmartSpam portal. Thank you for choosing us.,ham
"Good News! Your loan of Rs.50,000 has been pre-approved with 0% processing fee. Instant disbursement in 5 mins. Apply here: indiahrms-telegram.co",spam
"Dear Customer, your EMI of Rs.1,999 for loan account ending 7089 is overdue. Pay immediately via shorturl.at/xyz78 to avoid court notice and legal action.",spam
"Alert: Rs.149 debited from your HDFC A/c ending 4887 on 20-05-2026 towards UPI-Cred ref no 845333145784. Bal: Rs.4,320.50.",ham
Your Myntra package cannot be delivered due to an incorrect house number. Please update your address and schedule re-delivery at: paytm-cashback-reward.com,spam
"Do not share! OTP for your transaction of Rs.5,000 on Canara Bank is 303065. If you did not do this, call customer care immediately at +91 85438 57899 or stop it via tinyurl.com/sbi-netsecure",spam
"Dear Customer, Your A/c ending 9063 has been credited with Rs.1,250 on 20-05-2026 by InfoSys Salary. Total Available Bal: Rs.84,100.25.",ham
"Do not share! OTP for your transaction of Rs.1,999 on Axis Bank is 229570. If you did not do this, call customer care immediately at +91 77736 51770 or stop it via bit.ly/update-kyc-now",spam
Use OTP 437082 to complete your registration on the SmartSpam portal. Thank you for choosing us.,ham
"Dear Customer, Your A/c ending 8611 has been credited with Rs.1,250 on 19-05-2026 by InfoSys Salary. Total Available Bal: Rs.1,450.10.",ham
"Crypto Alert: Dogecoin is surging! Get 1,999 tokens free as a sign-up bonus today only. Claim your wallet here: delivery-address-update.in",spam
"Dear Customer, Your A/c ending 7188 has been credited with Rs.15,000 on Today by InfoSys Salary. Total Available Bal: Rs.1,450.10.",ham
"Your broadband bill for account 3633 is due on 30-05-2026. Avoid late payment charges by paying Rs.4,500 now.",ham
"Bro, are you coming for cricket tonight? We are short of one player. Let me know by 6 PM so we can book the turf.",ham
Your Blinkit order is packed and out for delivery. Your delivery executive Suresh (+91 88865 55961) will reach you in 9 minutes.,ham
"Dear winner, your mobile number has selected for Rs 25 Lakhs lottery prize in KBC Season 2026. Contact WhatsApp helpline +91 73171 45141 or visit shorturl.at/xyz78",spam
Your Blinkit order is packed and out for delivery. Your delivery executive Amit (+91 70697 51406) will reach you in 9 minutes.,ham
"Dear customer, your KYC update for Cred is pending. Your wallet will be deactivated today. To complete verification, open: linktr.ee/kbc-draw",spam
"Dear Customer, bill for your electricity consumer account 6208 has been generated. Amount Due: Rs.149. Due Date: 25-05-2026. Pay via your banking app.",ham
Hi! Your order from Flipkart containing your items has been dispatched and will be delivered today by DTDC. Track here: swiggy.com/orders,ham
"Dear winner, your mobile number has selected for Rs 75 Lakhs lottery prize in KBC Season 2026. Contact WhatsApp helpline +91 82824 72708 or visit icici-security-alert.net",spam
Your premium for LIC policy 1326 is outstanding. Pay today to avoid policy lapse and get 15% discount on late fees: shorturl.at/xyz78,spam
Your premium for LIC policy 2833 is outstanding. Pay today to avoid policy lapse and get 15% discount on late fees: icici-security-alert.net,spam
Crypto Alert: Bitcoin is surging! Get 499 tokens free as a sign-up bonus today only. Claim your wallet here: tinyurl.com/sbi-netsecure,spam
